"","island","sitename","depthname","quad","species","colony","depth","allfates","fate_t","year","asize","psize","yearNext","asizeNext","psizeNext","survIPM","fateIPM","fec1","spcover","allcover","twoyear","site","trans","utrans","uquad","uyear","tyear","ucolony","fyear","fyearNext","Pgrowth","Pfuse","Pfiss","Psurv","fate","size","sizeNext","size2","grArea","spcoverD"
"95","Ma","HonN","03m","Q2","MC","15",3,"S","S",1999,1.854669,5.931071,2000,0.628088,4.128669,1,"growth",0,44.688696,454.612746,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.1999","Honolua.N.1999","Honolua.N.Q2.MC.15","1999","2000",1,0,0,1,"growth",0.617706243480002,-0.465074994942329,0.381561003234176,-1.08278123842233,-0.571478167827497
"98","Ma","HonN","03m","Q2","MC","17",3,"S","S",1999,4.297316,12.874758,2000,3.1162,9.170403,1,"growth",0,44.688696,454.612746,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.1999","Honolua.N.1999","Honolua.N.Q2.MC.17","1999","2000",1,0,0,1,"growth",1.45799064176779,1.13661431080112,2.12573671148246,-0.321376330966677,-0.571478167827497
"99","Ma","HonN","03m","Q2","MC","18",3,"S","S",1999,2.532174,9.074589,2000,5.296878,15.211325,1,"growth",0,44.688696,454.612746,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.1999","Honolua.N.1999","Honolua.N.Q2.MC.18","1999","2000",1,0,0,1,"growth",0.92907822229994,1.6671175903923,0.863186343152016,0.73803936809236,-0.571478167827497
"140","Ma","HonN","03m","Q3","MC","01",3,"S","S",1999,7.07714,20.108784,2000,3.912669,10.918426,1,"growth",0,9.50928,237.230794,0,"Honolua","N","Honolua.N","Honolua.N.Q3","Honolua.N.Q3.1999","Honolua.N.1999","Honolua.N.Q3.MC.01","1999","2000",1,0,0,1,"growth",1.95686987129165,1.36421974982158,3.82933969316899,-0.59265012147007,-0.908815104199027
"141","Ma","HonN","03m","Q3","MC","02",3,"S","S",1999,1.047537,4.32331,2000,2.532262,8.325953,1,"growth",0,9.50928,237.230794,0,"Honolua","N","Honolua.N","Honolua.N.Q3","Honolua.N.Q3.1999","Honolua.N.1999","Honolua.N.Q3.MC.02","1999","2000",1,0,0,1,"growth",0.0464416943860457,0.929112974442136,0.00215683097744687,0.882671280056091,-0.908815104199027
"144","Ma","HonN","03m","Q3","MC","03",3,"S","S",1999,0.645313,4.621895,2000,1.705056,8.974602,1,"growth",0,9.50928,237.230794,0,"Honolua","N","Honolua.N","Honolua.N.Q3","Honolua.N.Q3.1999","Honolua.N.1999","Honolua.N.Q3.MC.03","1999","2000",1,0,0,1,"growth",-0.438019808574583,0.533597954770889,0.191861352703714,0.971617763345472,-0.908815104199027
"146","Ma","HonN","03m","Q4","MC","01",3,"S","S",1999,8.577925,13.353634,2000,13.518792,18.762591,1,"growth",0,40.977392,185.229351,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.1999","Honolua.N.1999","Honolua.N.Q4.MC.01","1999","2000",1,0,0,1,"growth",2.14919204275966,2.60408071751052,4.61902643666144,0.454888674750862,-0.6070660218528
"147","Ma","HonN","03m","Q4","MC","02",3,"S","S",1999,4.931855,11.643716,2000,5.437099,12.520949,1,"growth",0,40.977392,185.229351,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.1999","Honolua.N.1999","Honolua.N.Q4.MC.02","1999","2000",1,0,0,1,"growth",1.59571518503212,1.69324564656891,2.54630695174209,0.0975304615367926,-0.6070660218528
"151","Ma","HonN","03m","Q4","MC","05",3,"S","S",1999,0.941176,4.885604,2000,0.840269,3.957369,1,"growth",0,40.977392,185.229351,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.1999","Honolua.N.1999","Honolua.N.Q4.MC.05","1999","2000",1,0,0,1,"growth",-0.0606251218165598,-0.174033200314814,0.00367540539527272,-0.113408078498254,-0.6070660218528
"152","Ma","HonN","03m","Q4","MC","06",3,"S","S",1999,0.369465,2.857553,2000,0.564376,3.448637,1,"growth",0,40.977392,185.229351,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.1999","Honolua.N.1999","Honolua.N.Q4.MC.06","1999","2000",1,0,0,1,"growth",-0.995699265678455,-0.572034582940918,0.991417027672614,0.423664682737537,-0.6070660218528
"153","Ma","HonN","03m","Q4","MC","07",3,"S","S",1999,1.430407,6.935035,2000,1.549411,8.502337,1,"growth",0,40.977392,185.229351,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.1999","Honolua.N.1999","Honolua.N.Q4.MC.07","1999","2000",1,0,0,1,"growth",0.357959019161156,0.437874858712859,0.128134659398817,0.0799158395517032,-0.6070660218528
"156","Ma","HonN","03m","Q4","MC","12",3,"S","S",1999,1.717393,6.795803,2000,0.395483,3.015796,1,"growth",0,40.977392,185.229351,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.1999","Honolua.N.1999","Honolua.N.Q4.MC.12","1999","2000",1,0,0,1,"growth",0.540807443319211,-0.927647476263356,0.292472690749462,-1.46845491958257,-0.6070660218528
"237","Ma","HonN","03m","Q5","MC","01",3,"S","S",1999,1.755463,9.827571,2000,2.160661,6.892331,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.01","1999","2000",1,0,0,1,"growth",0.562732639787886,0.770414193400476,0.316668023882643,0.207681553612589,-0.0268756469711037
"239","Ma","HonN","03m","Q5","MC","03",3,"S","S",1999,0.204461,1.85439,2000,3.89157,9.240278,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.03","1999","2000",1,0,0,1,"growth",-1.58737803073302,1.35881267517792,2.51976901245383,2.94619070591094,-0.0268756469711037
"240","Ma","HonN","03m","Q5","MC","04",3,"S","S",1999,8.566805,17.273646,2000,9.908099,16.538848,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.04","1999","2000",1,0,0,1,"growth",2.14789485096261,2.29335250350291,4.6134522907917,0.145457652540299,-0.0268756469711037
"241","Ma","HonN","03m","Q5","MC","05",3,"S","S",1999,0.226238,1.971397,2000,0.126942,1.346211,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.05","1999","2000",1,0,0,1,"growth",-1.48616773648274,-2.0640249897529,2.20869454096222,-0.577857253270167,-0.0268756469711037
"242","Ma","HonN","03m","Q5","MC","06",3,"S","S",1999,1.544953,5.925827,2000,0.298843,2.401514,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.06","1999","2000",1,0,0,1,"growth",0.434993489175015,-1.20783692710817,0.189219335624654,-1.64283041628318,-0.0268756469711037
"244","Ma","HonN","03m","Q5","MC","08",3,"S","S",1999,4.132779,8.911888,2000,0.46281,2.88048,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.08","1999","2000",1,0,0,1,"growth",1.41895006204572,-0.770438676290179,2.01341927857954,-2.1893887383359,-0.0268756469711037
"245","Ma","HonN","03m","Q5","MC","09",3,"S","S",1999,8.922495,23.352287,2000,0.905785,4.588501,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.09","1999","2000",1,0,0,1,"growth",2.18857561600096,-0.0989533079441492,4.78986322695399,-2.28752892394511,-0.0268756469711037
"247","Ma","HonN","03m","Q5","MC","11",3,"S","S",1999,1.465104,5.966578,2000,1.785124,8.156992,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.11","1999","2000",1,0,0,1,"growth",0.381926229710469,0.579487880605942,0.145867644940854,0.197561650895473,-0.0268756469711037
"248","Ma","HonN","03m","Q5","MC","12",3,"S","S",1999,6.641966,21.318016,2000,3.077025,8.422632,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.12","1999","2000",1,0,0,1,"growth",1.89340800400137,1.12396322110378,3.58499386961647,-0.769444782897596,-0.0268756469711037
"253","Ma","HonN","03m","Q5","MC","16",3,"S","S",1999,0.606125,3.615343,2000,0.814545,3.735247,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.16","1999","2000",1,0,0,1,"growth",-0.500669043556621,-0.205125603847401,0.250669491175901,0.295543439709219,-0.0268756469711037
"254","Ma","HonN","03m","Q5","MC","17",3,"S","S",1999,3.97913,9.486737,2000,1.717686,5.680924,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.17","1999","2000",1,0,0,1,"growth",1.3810632024366,0.540978036193908,1.90733556912443,-0.84008516624269,-0.0268756469711037
"257","Ma","HonN","03m","Q5","MC","20",3,"S","S",1999,0.891645,4.169817,2000,0.469421,2.829054,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.20","1999","2000",1,0,0,1,"growth",-0.114687207680787,-0.756255258602569,0.0131531556056161,-0.641568050921782,-0.0268756469711037
"258","Ma","HonN","03m","Q5","MC","21",3,"S","S",1999,11.684537,21.452503,2000,3.550413,8.864477,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.21","1999","2000",1,0,0,1,"growth",2.45826634375693,1.26706393474875,6.04307341684804,-1.19120240900818,-0.0268756469711037
"259","Ma","HonN","03m","Q5","MC","22",3,"S","S",1999,0.917051,4.377065,2000,0.515702,3.054232,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.22","1999","2000",1,0,0,1,"growth",-0.0865921921326068,-0.662226199708971,0.00749820773833029,-0.575634007576364,-0.0268756469711037
"260","Ma","HonN","03m","Q5","MC","23",3,"S","S",1999,8.895879,21.839331,2000,9.676694,29.335767,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.23","1999","2000",1,0,0,1,"growth",2.18558813579702,2.26972031402858,4.77679549933669,0.0841321782315612,-0.0268756469711037
"262","Ma","HonN","03m","Q5","MC","25",3,"S","S",1999,0.972703,4.634951,2000,3.559669,9.098792,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.25","1999","2000",1,0,0,1,"growth",-0.0276764849128762,1.26966756301317,0.000765987817132661,1.29734404792605,-0.0268756469711037
"264","Ma","HonN","03m","Q5","MC","27",3,"S","S",1999,0.977543,5.949698,2000,1.999339,7.286092,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.27","1999","2000",1,0,0,1,"growth",-0.0227129983203167,0.692816625932784,0.000515880292698711,0.715529624253101,-0.0268756469711037
"265","Ma","HonN","03m","Q5","MC","28",3,"S","S",1999,0.447637,3.147014,2000,1.467769,6.340638,1,"growth",0,101.482947,462.666768,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.1999","Honolua.N.1999","Honolua.N.Q5.MC.28","1999","2000",1,0,0,1,"growth",-0.803772642868726,0.383743560862192,0.646050461424176,1.18751620373092,-0.0268756469711037
"559","Ma","HonN","03m","Q1","MC","01",3,"SSS","S",2002,8.190244,15.639586,2003,9.767325,17.778851,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.01","2002","2003",1,0,0,1,"growth",2.10294368985099,2.27904263122656,4.42237216268408,0.17609894137558,2.84787464660987
"560","Ma","HonN","03m","Q1","MC","03",3,"IIS","S",2002,2.2193,10.255912,2003,2.975155,13.708517,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.03","2002","2003",1,0,0,1,"growth",0.797191830846546,1.09029613848073,0.635514815168469,0.293104307634181,2.84787464660987
"561","Ma","HonN","03m","Q1","MC","03b",3,"IS","S",2002,0.632416,4.06889,2003,0.29421,2.606702,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.03b","2002","2003",1,0,0,1,"growth",-0.458207873524113,-1.2234614809098,0.20995445535949,-0.765253607385685,2.84787464660987
"562","Ma","HonN","03m","Q1","MC","04",3,"ISS","S",2002,239.377973,141.39975,2003,198.565176,105.408644,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.04","2002","2003",1,0,0,1,"growth",5.47804377970113,5.29111738880389,30.0089636523222,-0.186926390897237,2.84787464660987
"563","Ma","HonN","03m","Q1","MC","04a",3,"ISS","S",2002,0.836296,5.824851,2003,1.821456,6.633427,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.04a","2002","2003",1,0,0,1,"growth",-0.178772661578713,0.599636181259268,0.031959664527937,0.778408842837981,2.84787464660987
"566","Ma","HonN","03m","Q1","MC","05a",3,"IS","S",2002,0.828504,3.55383,2003,0.338286,2.700592,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.05a","2002","2003",1,0,0,1,"growth",-0.18813361412476,-1.08386358743932,0.0353942567636442,-0.895729973314556,2.84787464660987
"567","Ma","HonN","03m","Q1","MC","06",3,"SUS","S",2002,61.093742,55.318284,2003,44.132573,51.984351,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.06","2002","2003",1,0,0,1,"growth",4.11240943867344,3.78719812658972,16.9119113912904,-0.325211312083723,2.84787464660987
"568","Ma","HonN","03m","Q1","MC","08",3,"SSS","S",2002,34.068663,52.314488,2003,28.413836,48.993749,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.08","2002","2003",1,0,0,1,"growth",3.52837798816731,3.3468762096306,12.4494512273836,-0.181501778536719,2.84787464660987
"570","Ma","HonN","03m","Q1","MC","11",3,"RS","S",2002,3.234802,8.413702,2003,3.431346,12.421561,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.11","2002","2003",1,0,0,1,"growth",1.17396772051558,1.2329526040264,1.37820020881256,0.0589848835108145,2.84787464660987
"573","Ma","HonN","03m","Q1","MC","09",3,"SSS","S",2002,35.582826,38.310518,2003,25.140063,35.287423,1,"growth",0,401.278272,1036.150121,0,"Honolua","N","Honolua.N","Honolua.N.Q1","Honolua.N.Q1.2002","Honolua.N.2002","Honolua.N.Q1.MC.09","2002","2003",1,0,0,1,"growth",3.57186310572774,3.22446270912555,12.758206046059,-0.347400396602194,2.84787464660987
"620","Ma","HonN","03m","Q2","MC","01",3,"UIS","S",2002,3.113671,11.35158,2003,6.35171,12.665838,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.01","2002","2003",1,0,0,1,"growth",1.13580241593558,1.84872406799078,1.29004712804511,0.712921652055196,-0.57200848026728
"621","Ma","HonN","03m","Q2","MC","01a",3,"IS","S",2002,2.243098,9.443222,2003,2.175872,8.432599,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.01a","2002","2003",1,0,0,1,"growth",0.807857946068245,0.777429503734113,0.652634461025603,-0.0304284423341321,-0.57200848026728
"624","Ma","HonN","03m","Q2","MC","12",3,"SSS","S",2002,0.532204,3.105257,2003,13.715166,23.060572,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.12","2002","2003",1,0,0,1,"growth",-0.630728404495354,2.61850222785259,0.397818320237255,3.24923063234795,-0.57200848026728
"632","Ma","HonN","03m","Q2","MC","19",3,"RS","S",2002,0.282348,2.690704,2003,0.568057,3.55595,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.19","2002","2003",1,0,0,1,"growth",-1.2646149262955,-0.565533513183246,1.59925091180937,0.699081413112252,-0.57200848026728
"633","Ma","HonN","03m","Q2","MC","22",3,"RS","S",2002,9.54269,26.048759,2003,7.874372,22.507082,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.22","2002","2003",1,0,0,1,"growth",2.25577541636384,2.06361343550007,5.08852272907145,-0.192161980863771,-0.57200848026728
"634","Ma","HonN","03m","Q2","MC","23",3,"RS","S",2002,1.031915,4.816142,2003,1.037517,4.964884,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.23","2002","2003",1,0,0,1,"growth",0.031416299326157,0.0368303585306435,0.000986983863350695,0.00541405920448635,-0.57200848026728
"636","Ma","HonN","03m","Q2","MC","25",3,"RS","S",2002,11.606519,19.145528,2003,11.614362,21.062585,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.25","2002","2003",1,0,0,1,"growth",2.45156692301777,2.45224243574256,6.0101803780348,0.00067551272479624,-0.57200848026728
"637","Ma","HonN","03m","Q2","MC","26",3,"RS","S",2002,1.792686,5.929852,2003,0.229688,1.887357,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.26","2002","2003",1,0,0,1,"growth",0.583715053798728,-1.4710334127066,0.340723264031252,-2.05474846650533,-0.57200848026728
"639","Ma","HonN","03m","Q2","MC","28",3,"RS","S",2002,0.516518,3.704403,2003,3.064372,9.330333,1,"growth",0,44.633392,350.86654,0,"Honolua","N","Honolua.N","Honolua.N.Q2","Honolua.N.Q2.2002","Honolua.N.2002","Honolua.N.Q2.MC.28","2002","2003",1,0,0,1,"growth",-0.660645141078092,1.11984265443043,0.436452002430092,1.78048779550852,-0.57200848026728
"699","Ma","HonN","03m","Q3","MC","10",3,"RS","S",2002,1.860888,6.76691,2003,13.189061,23.075672,1,"growth",0,12.369126,59.575861,0,"Honolua","N","Honolua.N","Honolua.N.Q3","Honolua.N.Q3.2002","Honolua.N.2002","Honolua.N.Q3.MC.10","2002","2003",1,0,0,1,"growth",0.621053793151588,2.5793877738994,0.385707813987975,1.95833398074781,-0.881391917636341
"700","Ma","HonN","03m","Q3","MC","11",3,"RS","S",2002,2.162162,8.034043,2003,3.30321,10.188676,1,"growth",0,12.369126,59.575861,0,"Honolua","N","Honolua.N","Honolua.N.Q3","Honolua.N.Q3.2002","Honolua.N.2002","Honolua.N.Q3.MC.11","2002","2003",1,0,0,1,"growth",0.771108647029654,1.19489472295256,0.594608545523904,0.423786075922908,-0.881391917636341
"703","Ma","HonN","03m","Q4","MC","01",3,"SSS","S",2002,31.069438,32.295439,2003,43.915257,44.973505,1,"growth",0,98.7188,337.260148,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.2002","Honolua.N.2002","Honolua.N.Q4.MC.01","2002","2003",1,0,0,1,"growth",3.4362246350534,3.78226179956646,11.8076397425479,0.346037164513062,-0.0533811716978517
"707","Ma","HonN","03m","Q4","MC","08",3,"RSS","S",2002,0.866101,3.901999,2003,4.174973,11.949599,1,"growth",0,98.7188,337.260148,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.2002","Honolua.N.2002","Honolua.N.Q4.MC.08","2002","2003",1,0,0,1,"growth",-0.143753749044719,1.42910789121604,0.0206651403644121,1.57286164026076,-0.0533811716978517
"708","Ma","HonN","03m","Q4","MC","09",3,"RS","S",2002,3.182314,8.190948,2003,2.076648,6.983252,1,"growth",0,98.7188,337.260148,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.2002","Honolua.N.2002","Honolua.N.Q4.MC.09","2002","2003",1,0,0,1,"growth",1.15760860512246,0.730755055326808,1.34005768265357,-0.426853549795653,-0.0533811716978517
"709","Ma","HonN","03m","Q4","MC","10",3,"RS","S",2002,14.688452,24.090337,2003,3.317651,13.79185,1,"growth",0,98.7188,337.260148,0,"Honolua","N","Honolua.N","Honolua.N.Q4","Honolua.N.Q4.2002","Honolua.N.2002","Honolua.N.Q4.MC.10","2002","2003",1,0,0,1,"growth",2.68706160682512,1.19925700239035,7.22030007887361,-1.48780460443477,-0.0533811716978517
"775","Ma","HonN","03m","Q5","MC","01",3,"SSS","S",2002,7.707167,15.69236,2003,4.114278,13.690461,1,"growth",0,85.487867,396.296407,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.2002","Honolua.N.2002","Honolua.N.Q5.MC.01","2002","2003",1,0,0,1,"growth",2.04215067517404,1.41446336308483,4.17037938011381,-0.627687312089215,-0.180253158531203
"777","Ma","HonN","03m","Q5","MC","11",3,"SSS","S",2002,11.866569,21.591094,2003,11.261156,18.010238,1,"growth",0,85.487867,396.296407,0,"Honolua","N","Honolua.N","Honolua.N.Q5","Honolua.N.Q5.2002","Honolua.N.2002","Honolua.N.Q5.MC.11","2002","2003",1,0,0,1,"growth",2.47372511881893,2.42135928174033,6.11931596347571,-0.0523658370785997,-0.180253158531203
